,fecha_dato,sexo,age,nomprov,renta,segmento,id de cliente,num. de cuenta (IBAN),nombre de cliente
0,2016-06-28,H,54,MADRID,sdv-pii-et0es,03 - UNIVERSITARIO,0,ES3800788734672263124499,Basilio Dalmau Rosselló
1,2016-06-28,H,31,BARCELONA,sdv-pii-3g0rc,02 - PARTICULARES,1,ES4802251501611715733669,Anselma Peñas Viña
2,2016-06-28,H,52,MADRID,sdv-pii-1c14g,02 - PARTICULARES,2,ES9801254837990282155620,África Cabello
3,2016-06-28,H,35,MADRID,sdv-pii-eiwxi,02 - PARTICULARES,3,ES0200813228909495702062,Donato Pina
4,2016-06-28,V,40,MADRID,sdv-pii-k2n2s,02 - PARTICULARES,4,ES1400780975282526302342,José del Vilaplana
5,2016-06-28,H,37,MADRID,sdv-pii-ba421,03 - UNIVERSITARIO,5,ES4220480937907183235181,Urbano Gámez Salvà
6,2016-06-28,H,17,ALICANTE,sdv-pii-ppo19,03 - UNIVERSITARIO,6,ES8120952956700215389474,Dionisio Teodosio Arce Aragonés
7,2016-06-28,V,36,MADRID,sdv-pii-abt3n,02 - PARTICULARES,7,ES4320489801266416820049,Sonia Peiró Barba
8,2016-06-28,V,46,BARCELONA,sdv-pii-50tvh,02 - PARTICULARES,8,ES9120805933411241027592,Alejo Alemany Ferrera
9,2016-06-28,V,24,MADRID,sdv-pii-vo6f9,03 - UNIVERSITARIO,9,ES8001981829664407096515,Carla Antúnez Barrio
10,2016-06-28,V,42,MADRID,sdv-pii-zh25v,02 - PARTICULARES,10,ES4602370538529563815454,Timoteo Pozo Carbó
11,2016-06-28,V,40,MADRID,sdv-pii-mjhod,03 - UNIVERSITARIO,11,ES3500118925116460046606,Candelario Ramón Pla
12,2016-06-28,H,36,MADRID,sdv-pii-fohi3,03 - UNIVERSITARIO,12,ES2502398624126496364936,Conrado Agustín Maestre
13,2016-06-28,H,21,BIZKAIA,sdv-pii-fll6l,03 - UNIVERSITARIO,13,ES8201884420031787083571,Tamara Téllez Barbero
14,2016-06-28,V,33,SEVILLA,sdv-pii-kbmbv,03 - UNIVERSITARIO,14,ES6601281622916103611132,Rafa Cabrero
15,2016-06-28,V,65,MADRID,sdv-pii-80vub,02 - PARTICULARES,15,ES9100118511127989151842,Wálter del Poza
16,2016-06-28,V,33,HUELVA,sdv-pii-gee1x,02 - PARTICULARES,16,ES7520486058609430340221,Javi Gutiérrez Bayona
